Registration Number,UG Name of university,UGCGPA,Year of graduation,Employeed after graduation,Location of primary school,Location of secondary school,Disability,Fatherss highest level of education,Motherss highest level of education,Socio-economic level,Father occupation,Mother occupation,Electronic gadgets,Internet access at home,VT,QT,AT,OT
1042023,Addis Ababa University,3.86,2021,Yes,Addis Ababa,Addis Ababa,,Primary Education,Secondary Education,Same as,Private work,Private work,"Mobile phone with touch screen, ",Yes,40,11,15,66
1014800,Addis Ababa University,3.96,2019 GC,Yes,Oromia,Oromia,,Secondary Education,Secondary Education,Worse than,private,private Business,"Mobile phone with touch screen, ",No,25,19,22,66
1032525,Wollega university,3.3,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Private business,Private business,"Mobile phone with touch screen, ",Yes,35,18,13,66
1017558,university of gondar,2.48,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,private,private,"Mobile phone with touch screen, ",Yes,25,27,14,66
1018730,Addis Ababa UNIVERSITY,3.13,2006,Yes,Tigray,Tigray,,Primary Education,Secondary Education,Same as,Private,private,"Mobile phone with touch screen, ",Yes,32,23,11,66
1041235,HARAMAYA UNIVERSITY,2.85,2021,Yes,Harari,Harari,,Secondary Education,Post Secondary,Same as,MERCHANT,PHARMACIST," Mobile phone without touch screen, ",No,34,16,16,66
1015978,New generation university collage,2.5,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,CEO of Shala engineering and Construction PLC,Owner and Manager of Aroma soap,"Mobile phone with touch screen, ",Yes,35,19,12,66
1000192,Addis Ababa University,3.24,2010,Yes,Oromia,Oromia,,Post Secondary,Other,Same as,government official,own job,"Mobile phone with touch screen, ",Yes,28,23,15,66
1042859,stemaryss university,2.79,10/18/2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,manager,nurse,"Mobile phone with touch screen, ",Yes,28,18,20,66
1014231,jimma university,3.67,2019/20,Yes,Addis Ababa,Addis Ababa,,Other,Secondary Education,Same as,not alive,not working,"Mobile phone with touch screen, ",Yes,24,23,19,66
1041980,Debre Birhan University,3.95,2021,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Secondary Education,Same as,mechanic,not alive,"Mobile phone with touch screen, ",No,28,18,20,66
1016275,Addis Ababa university,2.65,2005 E.c,Yes,Somali,Oromia,,Secondary Education,Non Literate Adult and Non Formal Education,Same as,none,none,"Mobile phone with touch screen, ",Yes,35,15,16,66
1041499,Dilla University,3.73,2018,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,Auditor,No Job,"Mobile phone with touch screen, ",Yes,26,19,21,66
15226,Addis Ababa University,2.8,2009,Yes,Addis Ababa,Addis Ababa,,Post Secondary,,Same as,N/A,N/A,"Mobile phone with touch screen, ",Yes,34,10,22,66
