Registration Number,UG Name of university,UGCGPA,Year of graduation,Employeed after graduation,Location of primary school,Location of secondary school,Disability,Fatherss highest level of education,Motherss highest level of education,Socio-economic level,Father occupation,Mother occupation,Electronic gadgets,Internet access at home,VT,QT,AT,OT
1041419,HARAMAYA UNIVERSITY,3.81,2021,Yes,Amhara,Amhara,,Secondary Education,Primary Education,Same as,self employed,HOUSE WIFE,"Mobile phone with touch screen, ",No,20,24,12,56
1041941,Bahir Dar University,3.65,2013,Yes,Addis Ababa,Addis Ababa,,Other,Non Literate Adult and Non Formal Education,Same as,Farmer,House wife,"Mobile phone with touch screen, ",Yes,31,13,12,56
1046794,Addis Ababa University,2.6,2019,Yes,Addis Ababa,Addis Ababa,,Other,Post Secondary,Better than,ngo,house wife,"Mobile phone with touch screen, ",Yes,31,17,8,56
1046719,Addis Ababa University school of commerce,2.79,2015,Yes,Tigray,Addis Ababa,,Post Secondary,Non Literate Adult and Non Formal Education,Same as,retire,house wife,"Mobile phone with touch screen, ",Yes,36,13,7,56
1041389,Adama Science and Technology University,2.96,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,Priest,House wife,"Mobile phone with touch screen, ",Yes,26,14,16,56
1046742,jimma university,3.23,2015,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Worse than,died,house wife,"Mobile phone with touch screen, ",No,26,24,6,56
1042386,wachemo university,3.71,2019,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Worse than,Private,house wife,"Mobile phone with touch screen, ",No,29,17,10,56
1042644,Addis Ababa University,2.5,2017,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,RETIRED,House wife,"Mobile phone with touch screen, ",Yes,26,19,11,56
1042978,debre berhan university,3.55,2021,Yes,Amhara,Amhara,,Primary Education,Non Literate Adult and Non Formal Education,Same as,private,house wife,"Mobile phone with touch screen, ",Yes,22,21,13,56
1046977,mizan tepi university,3.92,2021,Yes,Amhara,Amhara,,Primary Education,Primary Education,Worse than,agriculture,house wife," Mobile phone without touch screen, ",No,18,24,14,56
1083154,Debre Markos University,3.21,2015,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,FARMER,House wife," Desktop computer, ",Yes,27,13,16,56
1083610,Dilla University,3.71,2018,Yes,Oromia,Oromia,,Primary Education,Non Literate Adult and Non Formal Education,Better than,Farmer,House wife,"Mobile phone with touch screen, ",No,27,18,11,56
1084012,EIT-M Mekelle University,3.13,2015,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Better than,Farmer,House wife,"Mobile phone with touch screen, ",No,24,24,8,56
1085182,haramaya university,3.15,2019,Yes,Oromia,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,House wife,"Mobile phone with touch screen, ",No,25,17,14,56
1002653,Addis Ababa University,2.75,2010 G.C.,Yes,Addis Ababa,Addis Ababa,,Other,Other,Better than,Died,House Mother,"Mobile phone with touch screen, ",Yes,29,15,12,56
1018664,SsMary university,3.25,2007,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,retired,house maid,"Mobile phone with touch screen, ",Yes,25,22,9,56
1042168,Hawassa University,3.08,2015,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,house made,"Mobile phone with touch screen, ",Yes,23,17,16,56
1012546,Adama science and technology university,2.95,2011/2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Primary Education,Same as,accountant,house madam,"Mobile phone with touch screen, ",Yes,25,20,11,56
18611,University of Gondar,3.85,2017,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,,Worse than,Farmer,house holder,"Mobile phone with touch screen, ",Yes,24,21,11,56
1042917,Ambo University,3.79,2021,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,Farmer,house holder,"Mobile phone with touch screen, ",No,17,26,13,56
1040667,mbo university,3.61,2020,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,farmer,house holder,"Mobile phone with touch screen, ",No,20,18,18,56
1046710,Ambo University,3.49,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,private,house holder,"Mobile phone with touch screen, ",No,21,28,7,56
1042738,WOLLO UNIVERSITY KIOT,2.7,2004 EC,Yes,Amhara,Amhara,,Primary Education,Primary Education,Same as,carpenter and farming,house hold,"Mobile phone with touch screen, ",Yes,20,19,17,56
1041425,Adama science and technology University,3.52,2013,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Merchant,House hold,"Mobile phone with touch screen, ",Yes,27,16,13,56
1042953,Unity University,2.25,2010 GC,Yes,Oromia,Oromia,,Secondary Education,Primary Education,Same as,keeper,house hold,"Mobile phone with touch screen, ",Yes,15,21,20,56
1016058,cpu business and technology college,3.97,2021,No,Addis Ababa,Addis Ababa,,Primary Education,Non Literate Adult and Non Formal Education,Same as,security,house clean,"Mobile phone with touch screen, ",Yes,18,22,16,56
1000286,Gondar University,3.56,2009,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,FARMER,HOUS HOLD,"Mobile phone with touch screen, ",No,21,29,6,56
17616,Microlink Information Technology Collage,3.2,2003,Yes,Tigray,Tigray,,Non Literate Adult and Non Formal Education,,Same as,Police,Home wife," Laptop computer, ",No,20,24,12,56
1042708,Hawassa university,2.89,2012,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Primary Education,Primary Education,Same as,farmer,Home wife,"Mobile phone with touch screen, ",Yes,26,18,12,56
1041445,hawassa university IOT,3.25,2020,No,Tigray,Tigray,,Post Secondary,Primary Education,Same as,Techer,home Taker," Laptop computer,  Laptop computer, ",Yes,19,24,13,56
1013739,Jimma University,3.22,2007,Yes,Oromia,Oromia,,Post Secondary,Primary Education,Same as,Teacher,Home maker,"Mobile phone with touch screen, ",Yes,24,18,14,56
1002660,Mekele University,2.4,2002,Yes,Tigray,Oromia,,Secondary Education,Secondary Education,Same as,Retired,Governmental,"Mobile phone with touch screen, ",No,22,22,12,56
15435,Arbaminch universty,2.48,2013,Yes,Oromia,Oromia,,Post Secondary,,Same as,NGO,Government orginization,"Mobile phone with touch screen, ",Yes,23,16,17,56
14677,ECSU,3.88,2012,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,,Same as,farmer,farmer,"Mobile phone with touch screen, ",No,26,15,15,56
14677,ECSU,3.88,2012,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,,Same as,farmer,farmer,"Mobile phone with touch screen, ",No,26,15,15,56
1002756,Addis Ababa University,2.91,2017GC,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Post Secondary,Same as,farmer,farmer,"Mobile phone with touch screen, ",Yes,23,21,12,56
1016078,Debre Markos University,3.66,2010,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,Farmer,"Mobile phone with touch screen, ",No,24,24,8,56
1014651,university of Gondar,3.34,2008,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Better than,Farmer,Farmer,"Mobile phone with touch screen, ",Yes,30,19,7,56
1016120,Haramaya University,2.85,2013,Yes,Oromia,Oromia,,Secondary Education,Non Literate Adult and Non Formal Education,Better than,farmer,farmer,"Mobile phone with touch screen, ",Yes,26,22,8,56
1013725,University of Gondar,3.65,2009,Yes,Oromia,Oromia,,Primary Education,Non Literate Adult and Non Formal Education,Same as,farmer,farmer,"Mobile phone with touch screen, ",Yes,22,23,11,56
1015475,Addis Ababa NUNIVERSITY,2.97,2018,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Primary Education,Same as,farmer,farmer," Desktop computer, ",Yes,24,24,8,56
1015587,JIGJIGA UNIVERSITY,2.95,2002,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,farmer,"Mobile phone with touch screen, ",No,26,13,17,56
1012877,hawassa university,3.59,2011 e.c,Yes,Oromia,Oromia,,Primary Education,Non Literate Adult and Non Formal Education,Same as,Farmer,farmer,"Mobile phone with touch screen, ",Yes,25,22,9,56
1018742,Jimma University,3.08,2012 G.C.,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Better than,Farmer,Farmer,"Mobile phone with touch screen, ",Yes,23,25,8,56
1019872,university of Gondar,3.4,2013 E.C,No,Amhara,Amhara,,Primary Education,Primary Education,Same as,farmer,farmer,"Mobile phone with touch screen, ",Yes,22,22,12,56
1018720,GAMBY MEDICAL AND BUSSINESS COIIAGE,3.79,2021,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,FARMER,FARMER,"Mobile phone with touch screen, ",No,23,24,9,56
1032495,Addis Ababa University,2.82,2004,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,Farmer,"Mobile phone with touch screen, ",No,17,25,14,56
1040497,Arbaminch University,2.7,2014,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,FARMER,FARMER,"Mobile phone with touch screen, ",Yes,18,23,15,56
1041386,AAU,2.98,2011,Yes,Oromia,Oromia,Physical/Motor Impairment,Primary Education,Primary Education,Same as,farmer,farmer,"Mobile phone with touch screen, ",Yes,27,16,13,56
1042845,Ambo University,3.66,2015,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,Farmer,"Mobile phone with touch screen, ",Yes,16,24,16,56
1032549,University of Gondar,3.58,2011,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,Farmer,"Mobile phone with touch screen, ",Yes,24,18,14,56
1083704,Hawassa University,3.65,2015 G.C,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,Farmer,FARMER,"Mobile phone with touch screen, ",No,17,29,10,56
1083099,Dilla university,3.16,2011G.C,Yes,Oromia,Oromia,,Secondary Education,Primary Education,Same as,Farmer,FARMER,"Mobile phone with touch screen, ",Yes,28,13,15,56
1084995,aksum university,2.97,2018,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,farmer,"Mobile phone with touch screen, ",Yes,30,15,11,56
1084901,bahirdar university,2.87,2010,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,farmer,"Mobile phone with touch screen, ",No,25,23,8,56
1042135,University of Gondar,3.23,30/10/2006,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Engineer,Engineer,"Mobile phone with touch screen, ",No,28,12,16,56
1002682,Addis Ababa science and technology university,3.28,2017,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,engineer,Druggist,"Mobile phone with touch screen, ",No,26,24,6,56
1016346,changchun university,3.5,1998,Yes,,,,Post Secondary,Post Secondary,Same as,business,death," Tablet, ",Yes,21,27,8,56
1046917,Unity University,2.65,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Civil servant,Civil servant,"Mobile phone with touch screen, ",Yes,34,9,13,56
1042947,EIABC,3.19,2015,Yes,,,,Non Literate Adult and Non Formal Education,Primary Education,Same as,DISEASED,BUSINESS WOMAN,"Mobile phone with touch screen, ",Yes,28,13,15,56
1002855,university of gonder,3.39,2020/2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,retired,business owner,"Mobile phone with touch screen, ",No,28,18,10,56
18703,Debre Berhan University,3.78,2019,No,Addis Ababa,Addis Ababa,,Secondary Education,,Better than,government employee,business,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,34,14,8,56
1042018,wolkite university,3.43,2021,Yes,Addis Ababa,Addis Ababa,,Other,Post Secondary,Same as,none,bank manager,"Mobile phone with touch screen, ",Yes,28,16,12,56
1012676,ste Mary University,3.08,2019,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,driver,AUDITOR,"Mobile phone with touch screen, ",No,27,17,12,56
17989,Unity Univeristy,2.47,2017,Yes,Addis Ababa,Addis Ababa,,Post Secondary,,Same as,Accountant,Accountant,"Mobile phone with touch screen, ",Yes,35,14,7,56
1002711,aksum,3.05,2013,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,consultant,accountant,"Mobile phone with touch screen, ",Yes,33,14,9,56
1014672,wollega University,3.11,2011,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,church leader,accountant,,Yes,27,15,14,56
1014963,Addis Ababa Science And Technology University,2.92,2018,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Same as,accountant,accountant,"Mobile phone with touch screen, ",Yes,23,13,20,56
1014228,Addis Ababa university,3.69,2018,Yes,Amhara,Amhara,,Post Secondary,Secondary Education,Same as,lawyer,accountant,"Mobile phone with touch screen, ",Yes,20,22,14,56
1014122,Debere berhan university,3.25,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,purchaser,accountant,"Mobile phone with touch screen, ",No,21,21,14,56
1016240,Debre Berhan university,3.62,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Other,Same as,enginering,accountant,"Mobile phone with touch screen, ",Yes,28,14,14,56
1040578,Addis Ababa University,2.84,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Geologist,Accountant,"Mobile phone with touch screen, ",Yes,24,20,12,56
1042606,adama general hospital and medical college,3.3,2021,Yes,Dire Dewa,Dire Dewa,,Post Secondary,Post Secondary,Better than,office manager,accountant,"Mobile phone with touch screen, ",Yes,26,20,10,56
1041380,koteba metropolitian university,3.65,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,mechanic,accountant,"Mobile phone with touch screen, ",No,24,15,17,56
1013977,universal medical college,3,2011EC,Yes,Gambela,Gambela,,Post Secondary,Secondary Education,Same as,governmental organization,teacher,"Mobile phone with touch screen, ",Yes,24,16,15,55
1019961,assosa university,3.25,2021,No,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",No,28,16,11,55
1018790,Gonder university,3.12,2000e.c,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",Yes,30,18,7,55
1041190,Bahir Dar University,3.91,2022,Yes,Addis Ababa,Addis Ababa,,Other,Post Secondary,Same as,teacher,teacher,"Mobile phone with touch screen, ",Yes,25,13,17,55
1083600,Hawassa University,3.22,2014 GC,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,West Harerghe Agricaltural Office,Teacher,"Mobile phone with touch screen, ",No,25,10,20,55
1083157,Debre Markos University,3.48,2007,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",No,27,16,12,55
1046953,unity University,2.37,2011,Yes,Oromia,Oromia,,Primary Education,Secondary Education,Same as,Driver,self-employed,"Mobile phone with touch screen, ",Yes,29,17,9,55
1042542,Addis Ababa UNIVERSITY,3.21,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,self employeed,self employeed,"Mobile phone with touch screen, ",Yes,25,18,12,55
1044244,Addis Ababa University,3.87,2021G.C,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Better than,Property Adminstrator,Self employed,"Mobile phone with touch screen, ",Yes,33,10,12,55
1014072,Addis Ababa University,2.7,2013,Yes,"Southern Nations, Nationalities, and Peoples",Addis Ababa,,Secondary Education,Non Literate Adult and Non Formal Education,Same as,self,Self,"Mobile phone with touch screen, ",No,24,19,12,55
1041191,Addis Ababa scince and technology university,3.25,2011,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Secondary Education,Secondary Education,Same as,driver,secretery,"Mobile phone with touch screen, ",No,28,13,14,55
1041379,Addis Ababa University,2.74,2017,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Same as,Enginner,secretary,"Mobile phone with touch screen, ",Yes,26,12,17,55
1014125,Gonder University,2.31,2007,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,Non-governmental,Retired,"Mobile phone with touch screen, ",No,26,15,14,55
1015042,Arba Minch university,3.32,2008 E.C,Yes,Addis Ababa,Addis Ababa,,Other,Other,Same as,He is dead,Retired,"Mobile phone with touch screen, ",Yes,25,11,19,55
1012837,Haramaya University,2.39,2006 G.C,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Better than,Merchant,retired,"Mobile phone with touch screen, ",Yes,34,14,7,55
1016121,Addis Ababa University,3.15,2019,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,Retired,Retired,"Mobile phone with touch screen, ",Yes,19,26,10,55
1020138,hawassa university,3.08,2013G.C,Yes,Amhara,Amhara,,Primary Education,Primary Education,Same as,retired,retired,"Mobile phone with touch screen, ",Yes,29,15,11,55
1046770,Addis Ababa University,3.5,2017,Yes,Amhara,Amhara,,Other,Primary Education,Same as,NO,Retired,"Mobile phone with touch screen, ",No,26,21,8,55
1016368,Adama Science and Technology University,2.7,2016,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Private Work,Private work,"Mobile phone with touch screen, ",Yes,32,14,9,55
1042394,Bahir dar university,2.4,2010,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Non Literate Adult and Non Formal Education,Same as,private business,private business,"Mobile phone with touch screen, ",No,22,22,11,55
18482,Adigrat University,3.64,2019,Yes,Addis Ababa,Addis Ababa,,Secondary Education,,Same as,private,private,"Mobile phone with touch screen, ",Yes,25,18,12,55
1042694,Arsi Universty,3.86,2021,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,private,private,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,28,17,10,55
1042578,mekelle university,3.23,2013,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,private,private,"Mobile phone with touch screen, ",Yes,26,12,17,55
849,Arba Minch university,2.78,2014,Yes,Addis Ababa,Addis Ababa,,Secondary Education,,Same as,passes away,preacher," Mobile phone without touch screen, ",Yes,25,10,20,55
1040534,st mary university,2.91,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,secretrial officer,police,"Mobile phone with touch screen, ",Yes,27,19,9,55
1013215,University of Gondar,3.06,2019,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,urban engineer,pharmacist,"Mobile phone with touch screen, ",No,24,22,9,55
1040738,Addis Ababa University,3.57,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,government,personal,"Mobile phone with touch screen, ",Yes,24,19,12,55
1046841,Addis Ababa University school of commerce,2.83,2015,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,pension,pension,"Mobile phone with touch screen, ",Yes,20,25,10,55
1013151,Jimma University,2.82,2010,Yes,Oromia,Oromia,,Primary Education,Non Literate Adult and Non Formal Education,Same as,Passed,Passed,"Mobile phone with touch screen, ",Yes,21,23,11,55
1013967,AAUNIVERSITY COLLEGE OF COMMERCE,2.26,2007g.c,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,other,other,"Mobile phone with touch screen, ",No,21,18,16,55
1041302,hawassa univesity,3.77,2016,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,oromia,oromia,"Mobile phone with touch screen, ",Yes,25,20,10,55
1042471,unity university,3.22,2021,No,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,house wife,oprator,"Mobile phone with touch screen, ",Yes,23,22,10,55
1000175,Bahir Dar University,3.2,2009,Yes,Sidama,Addis Ababa,,Post Secondary,Post Secondary,Better than,consaltant,nurse," Mobile phone without touch screen, ",Yes,25,17,13,55
1040579,dibrebirhan university,3.83,2003,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Nurse,Nurse,"Mobile phone with touch screen, ",Yes,27,13,15,55
1085248,Jimma University,2.72,2014,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Same as,judge,nurse,"Mobile phone with touch screen, ",Yes,23,20,12,55
1000006,Addis Ababa University,2.79,2010,No,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,None,None,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,29,12,14,55
1016293,Addis Ababa University,2.86,2019,Yes,Addis Ababa,Addis Ababa,,Other,Other,Better than,none,none,"Mobile phone with touch screen, ",Yes,24,19,12,55
1041348,Unity University,2.74,2019,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Same as,Private,none,"Mobile phone with touch screen, ",Yes,21,17,17,55
1017728,dira dawa university,2.79,2021,Yes,Oromia,Oromia,,Post Secondary,Primary Education,Same as,mechanic,non worker,"Mobile phone with touch screen, ",Yes,23,21,11,55
7973,Addis Abeba Science and Technology University,2.89,2018,Yes,Oromia,Oromia,,Secondary Education,,Same as,no work,no work,"Mobile phone with touch screen, ",Yes,16,21,18,55
1015906,dilla university,3.34,2019,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,no work,no work,"Mobile phone with touch screen, ",Yes,18,23,14,55
1016196,assosa,3.66,2010,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,driver,no job," Laptop computer, ",Yes,24,19,12,55
1019971,Mekelle University,3.78,2019,Yes,Tigray,Tigray,,Primary Education,Non Literate Adult and Non Formal Education,Worse than,farmer,no job,"Mobile phone with touch screen, ",No,21,23,11,55
1040661,University of Gondar,3.85,2021,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Worse than,no,no,"Mobile phone with touch screen, ",No,27,12,16,55
1042844,Defense University,4,2021,Yes,Amhara,Gambela,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,HE IS NOT ALIVE,no,"Mobile phone with touch screen, ",No,32,13,10,55
1046752,Arbaminch university,3.95,2021,Yes,Oromia,Oromia,,Secondary Education,Secondary Education,Same as,Merchants,Merchants,"Mobile phone with touch screen, ",Yes,23,22,10,55
8882,Arbaminch University,3.24,2007,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,,Same as,daily labor,merchant,"Mobile phone with touch screen, ",Yes,24,13,18,55
1042091,JIMMA UNIVERSITY,3.57,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,MERCHANT,MERCHANT,"Mobile phone with touch screen, ",Yes,28,10,17,55
1014595,Debre berhan university,2.64,2011,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,manager,licence officer,"Mobile phone with touch screen, ",Yes,23,19,13,55
1032455,Evangelical theological collage,3.4,2014,Yes,Addis Ababa,Addis Ababa,,Primary Education,Post Secondary,Same as,he havest work,keble registrar,"Mobile phone with touch screen, ",No,21,23,11,55
1084966,Arbaminch university,3.18,2013/2020,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Same as,Medical laboratory technician,Human Resource Manager,"Mobile phone with touch screen, ",No,26,21,8,55
1040638,university of gondar,3.5,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Other,Same as,own business,human resource administration,"Mobile phone with touch screen, ",Yes,23,15,17,55
1040520,University of Gondar,3.07,2008,Yes,Amhara,Amhara,,Post Secondary,Primary Education,Same as,died,house-wife,"Mobile phone with touch screen, ",Yes,22,15,18,55
17030,university of gondar,3.66,2010,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,,Same as,accounting and management,housewife,"Mobile phone with touch screen, Mobile phone with touch screen, ",No,23,19,13,55
18246,jimma university,2.77,2005e.c,Yes,Addis Ababa,Addis Ababa,,Primary Education,,Same as,private,housewife,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,29,15,11,55
1015610,Maddawalabu University,3,2011E.C,No,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,Merchant,HOUSEWIFE,"Mobile phone with touch screen, ",Yes,29,13,13,55
1013649,Addis Ababa University,3.47,2008 G.C,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Primary Education,Same as,Retired,Housewife,"Mobile phone with touch screen, ",No,28,20,7,55
1016042,PHARMA HEALTH COLLEGGE,2.2,2011,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,housewife,"Mobile phone with touch screen, ",Yes,23,23,9,55
1014006,Addis Ababa University,3.15,2010,Yes,Amhara,Amhara,,Secondary Education,Primary Education,Same as,no,housewife,"Mobile phone with touch screen, ",Yes,25,15,15,55
1014550,University of Gondar,2.88,2018 G.C,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,Private,housewife,"Mobile phone with touch screen, ",Yes,27,17,11,55
1016029,AKSUM,3.73,2018,No,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Better than,MERCHANT,Housewife,"Mobile phone with touch screen, ",Yes,21,24,10,55
1016392,Addis Ababa University,3.76,2021,Yes,Amhara,Amhara,,Secondary Education,Primary Education,Same as,civil servant,housewife,"Mobile phone with touch screen, ",No,22,20,13,55
1020005,Haramaya university,3.68,2018,Yes,Oromia,Oromia,,Primary Education,Primary Education,Worse than,farmer,housewife," Mobile phone without touch screen, ",No,30,16,9,55
1019871,Addis Ababa science and technology,3.48,2018,No,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,housewife,"Mobile phone with touch screen, ",Yes,17,26,12,55
1046810,stsmary university,2.69,2021,Yes,Addis Ababa,Addis Ababa,,Primary Education,Secondary Education,Same as,private,housewife,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,25,19,11,55
1043001,Arbamich University,3.58,2019,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,Police,Housewife," Laptop computer, ",No,16,23,16,55
1041526,Ethiopian Civil service university,3.16,2003,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Private work,HOUSEWIFE,"Mobile phone with touch screen, ",Yes,16,23,16,55
1084063,university of gondar,3.14,2016,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,MERCHANT,housewife,"Mobile phone with touch screen, ",Yes,25,19,11,55
1084911,arbaminch university,3.29,2010.EC,Yes,"Southern Nations, Nationalities, and Peoples",Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Better than,farmer,Housewife,"Mobile phone with touch screen, ",Yes,28,18,9,55
17429,arba minch university,2.99,2017,Yes,Addis Ababa,Addis Ababa,,Primary Education,,Same as,none,householder,"Mobile phone with touch screen, Mobile phone with touch screen, Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,21,23,11,55
